model_name,prompt_type,temperature,sub_redos_pattern,count
GPT3.5,raw,0.0,EOA_i1,1
GPT3.5,raw,0.0,EOA_ii1,1
GPT3.5,raw,0.0,NQ,2
GPT3.5,raw,0.0,POA,16
GPT3.5,raw,0.0,SLQ2,9
GPT3.5,raw,0.0,SLQ_1,2
GPT3.5,raw,0.2,EOA_i1,11
GPT3.5,raw,0.2,EOA_i3,1
GPT3.5,raw,0.2,EOA_ii1,7
GPT3.5,raw,0.2,EOD_i,1
GPT3.5,raw,0.2,NQ,9
GPT3.5,raw,0.2,POA,68
GPT3.5,raw,0.2,SLQ2,30
GPT3.5,raw,0.2,SLQ_1,4
GPT3.5,raw,0.2,SLQ_2,1
GPT3.5,raw,0.4,EOA_i1,2
GPT3.5,raw,0.4,EOA_ii1,2
GPT3.5,raw,0.4,EOD_i,1
GPT3.5,raw,0.4,NQ,4
GPT3.5,raw,0.4,POA,42
GPT3.5,raw,0.4,SLQ2,11
GPT3.5,raw,0.4,SLQ_2,4
GPT3.5,raw,0.6,EOA_i1,19
GPT3.5,raw,0.6,EOA_i3,3
GPT3.5,raw,0.6,EOA_ii1,8
GPT3.5,raw,0.6,EOA_ii3,1
GPT3.5,raw,0.6,EOD_i,4
GPT3.5,raw,0.6,NQ,29
GPT3.5,raw,0.6,POA,156
GPT3.5,raw,0.6,SLQ2,57
GPT3.5,raw,0.6,SLQ_1,5
GPT3.5,raw,0.6,SLQ_2,7
GPT3.5,raw,0.6,SLQ_3,1
GPT3.5,raw,0.8,EOA_i1,12
GPT3.5,raw,0.8,EOA_i3,4
GPT3.5,raw,0.8,EOA_ii1,9
GPT3.5,raw,0.8,EOA_ii3,1
GPT3.5,raw,0.8,EOD_i,4
GPT3.5,raw,0.8,NQ,20
GPT3.5,raw,0.8,POA,139
GPT3.5,raw,0.8,SLQ2,92
GPT3.5,raw,0.8,SLQ_1,1
GPT3.5,raw,0.8,SLQ_2,13
GPT3.5,raw,1.0,EOA_i1,14
GPT3.5,raw,1.0,EOA_i3,4
